experiment,model,soc_bin,mean_signed_error,mean_abs_error
cross_B_train_LG_test_PAN,patchtst,0.175,0.03893206641077995,0.04449700564146042
cross_B_train_LG_test_PAN,patchtst,0.225,0.025264091789722443,0.03681858256459236
cross_B_train_LG_test_PAN,patchtst,0.275,0.011704571545124054,0.03376636654138565
cross_B_train_LG_test_PAN,patchtst,0.325,-0.0022871985565871,0.033488377928733826
cross_B_train_LG_test_PAN,patchtst,0.375,-0.022833021357655525,0.03755434229969978
cross_B_train_LG_test_PAN,patchtst,0.425,-0.04166686162352562,0.04958111047744751
cross_B_train_LG_test_PAN,patchtst,0.475,-0.052145570516586304,0.05599082261323929
cross_B_train_LG_test_PAN,patchtst,0.525,-0.06367689371109009,0.06549205631017685
cross_B_train_LG_test_PAN,patchtst,0.575,-0.07370438426733017,0.07441120594739914
cross_B_train_LG_test_PAN,patchtst,0.625,-0.06695900112390518,0.06772897392511368
cross_B_train_LG_test_PAN,patchtst,0.675,-0.07110323756933212,0.0717061311006546
cross_B_train_LG_test_PAN,patchtst,0.725,-0.08120983093976974,0.08149925619363785
cross_B_train_LG_test_PAN,patchtst,0.775,-0.08348951488733292,0.08364652842283249
cross_B_train_LG_test_PAN,patchtst,0.825,-0.08984313905239105,0.08990751206874847
cross_B_train_LG_test_PAN,patchtst,0.875,-0.08927558362483978,0.08927813917398453
cross_B_train_LG_test_PAN,patchtst,0.925,-0.08332019299268723,0.08334383368492126
cross_B_train_LG_test_PAN,patchtst,0.975,0.05841873213648796,0.08570044487714767
cross_B_train_LG_test_PAN,tcn,0.025,0.07639376819133759,0.07643654197454453
cross_B_train_LG_test_PAN,tcn,0.075,0.0801517516374588,0.08110900223255157
cross_B_train_LG_test_PAN,tcn,0.125,0.048702437430620193,0.0563742034137249
cross_B_train_LG_test_PAN,tcn,0.175,0.02414446696639061,0.03111107647418976
cross_B_train_LG_test_PAN,tcn,0.225,-0.0021321496460586786,0.0282503180205822
cross_B_train_LG_test_PAN,tcn,0.275,-0.017069745808839798,0.03352572023868561
