direction,model,method,fraction,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,n_pool_windows
cross_B_train_LG_test_PAN,lstm,recal_affine,0.0,5,0.06958,0.00068,0.09271,0.0016,-0.05851,0.0
cross_B_train_LG_test_PAN,lstm,recal_affine,0.05,5,0.06438,0.00601,0.08308,0.00684,0.01281,1823.6
cross_B_train_LG_test_PAN,lstm,recal_affine,0.1,5,0.06371,0.00605,0.0799,0.00548,0.01296,2687.0
cross_B_train_LG_test_PAN,lstm,recal_affine,0.2,5,0.05732,0.00255,0.0736,0.00224,0.00295,5824.2
cross_B_train_LG_test_PAN,lstm,recal_affine,0.5,5,0.05617,0.00064,0.07194,0.00112,0.00016,15791.0
cross_B_train_LG_test_PAN,lstm,recal_affine,1.0,5,0.05603,0.00088,0.07171,0.00124,0.00017,31369.0
cross_B_train_LG_test_PAN,lstm,recal_bias,0.0,5,0.06958,0.00068,0.09271,0.0016,-0.05851,0.0
cross_B_train_LG_test_PAN,lstm,recal_bias,0.05,5,0.05946,0.00312,0.07515,0.00337,0.00521,1823.6
cross_B_train_LG_test_PAN,lstm,recal_bias,0.1,5,0.05977,0.00622,0.0749,0.00495,0.00833,2687.0
cross_B_train_LG_test_PAN,lstm,recal_bias,0.2,5,0.05731,0.00286,0.07278,0.00188,0.00096,5824.2
cross_B_train_LG_test_PAN,lstm,recal_bias,0.5,5,0.05643,0.00061,0.07204,0.00126,-0.00046,15791.0
cross_B_train_LG_test_PAN,lstm,recal_bias,1.0,5,0.05635,0.00092,0.07191,0.00124,-9e-05,31369.0
cross_B_train_LG_test_PAN,mlp,recal_affine,0.0,5,0.07648,0.00198,0.09189,0.00161,-0.04893,0.0
cross_B_train_LG_test_PAN,mlp,recal_affine,0.05,5,0.06886,0.00756,0.09101,0.01374,0.01807,1823.6
cross_B_train_LG_test_PAN,mlp,recal_affine,0.1,5,0.06991,0.00514,0.09152,0.00856,0.02103,2687.0
cross_B_train_LG_test_PAN,mlp,recal_affine,0.2,5,0.06337,0.00223,0.08069,0.00338,-0.00196,5824.2
cross_B_train_LG_test_PAN,mlp,recal_affine,0.5,5,0.06173,0.00206,0.07769,0.00281,-0.00506,15791.0
cross_B_train_LG_test_PAN,mlp,recal_affine,1.0,5,0.06131,0.0019,0.07678,0.00216,-0.00378,31369.0
cross_B_train_LG_test_PAN,mlp,recal_bias,0.0,5,0.07648,0.00198,0.09189,0.00161,-0.04893,0.0
cross_B_train_LG_test_PAN,mlp,recal_bias,0.05,5,0.06364,0.00428,0.08071,0.00578,0.00742,1823.6
cross_B_train_LG_test_PAN,mlp,recal_bias,0.1,5,0.06477,0.00554,0.08191,0.00603,0.014,2687.0
cross_B_train_LG_test_PAN,mlp,recal_bias,0.2,5,0.06369,0.0035,0.07974,0.00354,-0.00964,5824.2
cross_B_train_LG_test_PAN,mlp,recal_bias,0.5,5,0.06243,0.00187,0.07859,0.00231,-0.00869,15791.0
cross_B_train_LG_test_PAN,mlp,recal_bias,1.0,5,0.06167,0.00191,0.07802,0.00255,-0.00637,31369.0
cross_B_train_LG_test_PAN,patchtst,finetune,0.0,5,0.06416,0.0016,0.07749,0.00152,-0.03326,0.0
cross_B_train_LG_test_PAN,patchtst,finetune,0.05,5,0.05249,0.01434,0.07033,0.01778,0.02152,1823.6
cross_B_train_LG_test_PAN,patchtst,finetune,0.1,5,0.04923,0.00529,0.06606,0.00956,0.02024,2687.0
cross_B_train_LG_test_PAN,patchtst,finetune,0.2,5,0.04202,0.00763,0.05782,0.01393,0.01334,5824.2
cross_B_train_LG_test_PAN,patchtst,finetune,0.5,5,0.03124,0.00304,0.04144,0.00341,0.00174,15791.0
cross_B_train_LG_test_PAN,patchtst,finetune,1.0,5,0.02445,0.00162,0.03276,0.00148,-0.00057,31369.0
cross_B_train_LG_test_PAN,patchtst,recal_affine,0.0,5,0.06416,0.0016,0.07749,0.00152,-0.03326,0.0
cross_B_train_LG_test_PAN,patchtst,recal_affine,0.05,5,0.06221,0.00483,0.08121,0.0087,0.01207,1823.6
cross_B_train_LG_test_PAN,patchtst,recal_affine,0.1,5,0.06189,0.00523,0.08383,0.0109,0.0186,2687.0
cross_B_train_LG_test_PAN,patchtst,recal_affine,0.2,5,0.06119,0.00212,0.07634,0.00357,-0.00746,5824.2
