direction,model,method,fraction,mae_mean,gap_share_closed
cross_B_train_LG_test_PAN,patchtst,finetune,0.2,0.04202,0.5564
cross_B_train_LG_test_PAN,patchtst,finetune,0.5,0.03124,0.8273
cross_B_train_LG_test_PAN,patchtst,finetune,1.0,0.02445,0.998
cross_B_train_LG_test_PAN,patchtst,recal_affine,0.0,0.06416,0.0
cross_B_train_LG_test_PAN,patchtst,recal_affine,0.05,0.06221,0.049
cross_B_train_LG_test_PAN,patchtst,recal_affine,0.1,0.06189,0.057
cross_B_train_LG_test_PAN,patchtst,recal_affine,0.2,0.06119,0.0746
cross_B_train_LG_test_PAN,patchtst,recal_affine,0.5,0.05802,0.1543
cross_B_train_LG_test_PAN,patchtst,recal_affine,1.0,0.05732,0.1719
cross_B_train_LG_test_PAN,patchtst,recal_bias,0.0,0.06416,0.0
cross_B_train_LG_test_PAN,patchtst,recal_bias,0.05,0.05686,0.1835
cross_B_train_LG_test_PAN,patchtst,recal_bias,0.1,0.05675,0.1862
cross_B_train_LG_test_PAN,patchtst,recal_bias,0.2,0.05934,0.1211
cross_B_train_LG_test_PAN,patchtst,recal_bias,0.5,0.05742,0.1694
cross_B_train_LG_test_PAN,patchtst,recal_bias,1.0,0.05696,0.1809
cross_B_train_LG_test_PAN,tcn,recal_affine,0.0,0.07646,0.0
cross_B_train_LG_test_PAN,tcn,recal_affine,0.05,0.07048,0.1047
cross_B_train_LG_test_PAN,tcn,recal_affine,0.1,0.07041,0.1059
cross_B_train_LG_test_PAN,tcn,recal_affine,0.2,0.06244,0.2454
cross_B_train_LG_test_PAN,tcn,recal_affine,0.5,0.0615,0.2619
cross_B_train_LG_test_PAN,tcn,recal_affine,1.0,0.0612,0.2672
cross_B_train_LG_test_PAN,tcn,recal_bias,0.0,0.07646,0.0
cross_B_train_LG_test_PAN,tcn,recal_bias,0.05,0.06547,0.1924
cross_B_train_LG_test_PAN,tcn,recal_bias,0.1,0.06652,0.174
cross_B_train_LG_test_PAN,tcn,recal_bias,0.2,0.06295,0.2365
cross_B_train_LG_test_PAN,tcn,recal_bias,0.5,0.06263,0.2421
cross_B_train_LG_test_PAN,tcn,recal_bias,1.0,0.0623,0.2479
cross_B_train_LG_test_PAN,transformer,recal_affine,0.0,0.07383,0.0
cross_B_train_LG_test_PAN,transformer,recal_affine,0.05,0.06371,0.1711
cross_B_train_LG_test_PAN,transformer,recal_affine,0.1,0.06503,0.1488
cross_B_train_LG_test_PAN,transformer,recal_affine,0.2,0.05725,0.2804
cross_B_train_LG_test_PAN,transformer,recal_affine,0.5,0.0567,0.2897
cross_B_train_LG_test_PAN,transformer,recal_affine,1.0,0.05647,0.2936
cross_B_train_LG_test_PAN,transformer,recal_bias,0.0,0.07383,0.0
cross_B_train_LG_test_PAN,transformer,recal_bias,0.05,0.05905,0.25
cross_B_train_LG_test_PAN,transformer,recal_bias,0.1,0.06034,0.2281
cross_B_train_LG_test_PAN,transformer,recal_bias,0.2,0.05766,0.2735
cross_B_train_LG_test_PAN,transformer,recal_bias,0.5,0.05705,0.2838
cross_B_train_LG_test_PAN,transformer,recal_bias,1.0,0.05682,0.2877
