direction,condition,model,soc_bin,mae,count
cross_B_train_LG_test_PAN,C1_baseline,linear,0.6-0.7,0.06832,27845
cross_B_train_LG_test_PAN,C1_baseline,linear,0.7-0.8,0.08447,28295
cross_B_train_LG_test_PAN,C1_baseline,linear,0.8-0.9,0.09834,29745
cross_B_train_LG_test_PAN,C1_baseline,linear,0.9-1.0,0.08145,66820
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.0-0.1,0.08423,2440
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.1-0.2,0.04191,11955
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.2-0.3,0.02843,18950
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.3-0.4,0.0451,24095
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.4-0.5,0.07082,26430
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.5-0.6,0.08398,26590
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.6-0.7,0.08864,27845
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.7-0.8,0.10078,28295
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.8-0.9,0.1141,29745
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.9-1.0,0.04931,66820
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.0-0.1,0.08199,2440
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.1-0.2,0.05553,11955
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.2-0.3,0.02612,18950
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.3-0.4,0.04522,24095
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.4-0.5,0.07355,26430
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.5-0.6,0.07989,26590
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.6-0.7,0.09033,27845
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.7-0.8,0.10166,28295
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.8-0.9,0.10748,29745
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.9-1.0,0.09504,66820
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.0-0.1,0.06797,2440
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.1-0.2,0.04816,11955
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.2-0.3,0.03519,18950
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.3-0.4,0.03559,24095
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.4-0.5,0.05285,26430
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.5-0.6,0.06986,26590
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.6-0.7,0.06981,27845
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.7-0.8,0.0826,28295
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.8-0.9,0.08959,29745
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.9-1.0,0.08518,66820
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.0-0.1,0.07221,2440
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.1-0.2,0.04711,11955
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.2-0.3,0.03247,18950
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.3-0.4,0.05459,24095
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.4-0.5,0.07887,26430
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.5-0.6,0.08486,26590
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.6-0.7,0.08737,27845
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.7-0.8,0.09708,28295
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.8-0.9,0.10766,29745
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.9-1.0,0.06308,66820
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.0-0.1,0.03409,2440
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.1-0.2,0.0351,11955
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.2-0.3,0.027,18950
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.3-0.4,0.03834,24095
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.4-0.5,0.071,26430
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.5-0.6,0.08363,26590
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.6-0.7,0.07445,27845
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.7-0.8,0.07729,28295
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.8-0.9,0.08507,29745
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.9-1.0,0.09558,66820
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.0-0.1,0.07741,2440
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.1-0.2,0.03739,11955
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.2-0.3,0.02957,18950
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.3-0.4,0.04859,24095
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.4-0.5,0.07564,26430
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.5-0.6,0.08629,26590
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.6-0.7,0.08858,27845
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.7-0.8,0.09978,28295
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.8-0.9,0.1131,29745
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.9-1.0,0.05183,66820
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.0-0.1,0.07815,2440
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.1-0.2,0.04165,11955
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.2-0.3,0.03021,18950
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.3-0.4,0.05631,24095
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.4-0.5,0.07776,26430
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.5-0.6,0.08178,26590
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.6-0.7,0.08775,27845
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.7-0.8,0.09859,28295
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.8-0.9,0.10628,29745
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.9-1.0,0.08827,66820
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.0-0.1,0.05783,2440
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.1-0.2,0.03998,11955
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.2-0.3,0.03297,18950
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.3-0.4,0.0393,24095
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.4-0.5,0.05859,26430
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.5-0.6,0.07337,26590
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.6-0.7,0.07087,27845
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.7-0.8,0.08133,28295
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.8-0.9,0.08636,29745
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.9-1.0,0.09295,66820
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.0-0.1,0.06857,2440
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.1-0.2,0.04802,11955
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.2-0.3,0.03447,18950
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.3-0.4,0.05425,24095
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.4-0.5,0.07411,26430
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.5-0.6,0.07556,26590
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.6-0.7,0.07551,27845
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.7-0.8,0.08301,28295
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.8-0.9,0.09114,29745
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.9-1.0,0.07322,66820
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.0-0.1,0.02375,2440
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.1-0.2,0.03009,11955
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.2-0.3,0.02795,18950
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.3-0.4,0.03671,24095
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.4-0.5,0.06194,26430
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.5-0.6,0.06697,26590
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.6-0.7,0.05843,27845
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.7-0.8,0.05666,28295
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.8-0.9,0.0669,29745
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.9-1.0,0.13444,66820
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.0-0.1,0.07511,2440
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.1-0.2,0.03661,11955
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.2-0.3,0.03062,18950
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.3-0.4,0.04957,24095
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.4-0.5,0.07434,26430
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.5-0.6,0.0828,26590
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.6-0.7,0.08366,27845
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.7-0.8,0.09372,28295
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.8-0.9,0.10488,29745
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.9-1.0,0.0524,66820
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.0-0.1,0.06669,2440
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.1-0.2,0.03709,11955
