direction,condition,model,soc_bin,mae,count
cross_A_train_PAN_test_LG,C4_coral,lstm,0.6-0.7,0.26703,97
cross_A_train_PAN_test_LG,C4_coral,lstm,0.7-0.8,0.30658,94
cross_A_train_PAN_test_LG,C4_coral,lstm,0.8-0.9,0.35606,78
cross_A_train_PAN_test_LG,C4_coral,lstm,0.9-1.0,0.40168,112
cross_A_train_PAN_test_LG,C4_coral,mlp,0.1-0.2,0.2164,46
cross_A_train_PAN_test_LG,C4_coral,mlp,0.2-0.3,0.12799,71
cross_A_train_PAN_test_LG,C4_coral,mlp,0.3-0.4,0.16837,69
cross_A_train_PAN_test_LG,C4_coral,mlp,0.4-0.5,0.16637,110
cross_A_train_PAN_test_LG,C4_coral,mlp,0.5-0.6,0.19056,123
cross_A_train_PAN_test_LG,C4_coral,mlp,0.6-0.7,0.16607,97
cross_A_train_PAN_test_LG,C4_coral,mlp,0.7-0.8,0.10789,94
cross_A_train_PAN_test_LG,C4_coral,mlp,0.8-0.9,0.08857,78
cross_A_train_PAN_test_LG,C4_coral,mlp,0.9-1.0,0.11365,112
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.1-0.2,0.13254,46
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.2-0.3,0.30703,71
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.3-0.4,0.23611,69
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.4-0.5,0.23964,110
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.5-0.6,0.18326,123
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.6-0.7,0.16767,97
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.7-0.8,0.18579,94
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.8-0.9,0.16857,78
cross_A_train_PAN_test_LG,C4_coral,patchtst,0.9-1.0,0.17147,112
cross_B_train_LG_test_PAN,C1_baseline,gru,0.0-0.1,0.13679,11
cross_B_train_LG_test_PAN,C1_baseline,gru,0.1-0.2,0.17228,31
cross_B_train_LG_test_PAN,C1_baseline,gru,0.2-0.3,0.18437,50
cross_B_train_LG_test_PAN,C1_baseline,gru,0.3-0.4,0.21263,83
cross_B_train_LG_test_PAN,C1_baseline,gru,0.4-0.5,0.30396,70
cross_B_train_LG_test_PAN,C1_baseline,gru,0.5-0.6,0.32276,75
cross_B_train_LG_test_PAN,C1_baseline,gru,0.6-0.7,0.36626,97
cross_B_train_LG_test_PAN,C1_baseline,gru,0.7-0.8,0.38528,83
cross_B_train_LG_test_PAN,C1_baseline,gru,0.8-0.9,0.43086,110
cross_B_train_LG_test_PAN,C1_baseline,gru,0.9-1.0,0.37051,190
cross_B_train_LG_test_PAN,C1_baseline,linear,0.0-0.1,0.06986,11
cross_B_train_LG_test_PAN,C1_baseline,linear,0.1-0.2,0.10182,31
cross_B_train_LG_test_PAN,C1_baseline,linear,0.2-0.3,0.06649,50
cross_B_train_LG_test_PAN,C1_baseline,linear,0.3-0.4,0.05251,83
cross_B_train_LG_test_PAN,C1_baseline,linear,0.4-0.5,0.06467,70
cross_B_train_LG_test_PAN,C1_baseline,linear,0.5-0.6,0.06227,75
cross_B_train_LG_test_PAN,C1_baseline,linear,0.6-0.7,0.07881,97
cross_B_train_LG_test_PAN,C1_baseline,linear,0.7-0.8,0.08369,83
cross_B_train_LG_test_PAN,C1_baseline,linear,0.8-0.9,0.10613,110
cross_B_train_LG_test_PAN,C1_baseline,linear,0.9-1.0,0.07856,190
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.0-0.1,0.04158,11
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.1-0.2,0.05549,31
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.2-0.3,0.07348,50
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.3-0.4,0.12597,83
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.4-0.5,0.21525,70
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.5-0.6,0.25843,75
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.6-0.7,0.30861,97
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.7-0.8,0.32659,83
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.8-0.9,0.38223,110
cross_B_train_LG_test_PAN,C1_baseline,lstm,0.9-1.0,0.31902,190
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.0-0.1,0.16006,11
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.1-0.2,0.11964,31
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.2-0.3,0.05919,50
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.3-0.4,0.08895,83
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.4-0.5,0.14658,70
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.5-0.6,0.19474,75
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.6-0.7,0.20396,97
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.7-0.8,0.20497,83
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.8-0.9,0.20075,110
cross_B_train_LG_test_PAN,C1_baseline,mlp,0.9-1.0,0.16553,190
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.0-0.1,0.32444,11
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.1-0.2,0.28424,31
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.2-0.3,0.2123,50
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.3-0.4,0.1741,83
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.4-0.5,0.12652,70
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.5-0.6,0.12322,75
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.6-0.7,0.10539,97
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.7-0.8,0.1274,83
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.8-0.9,0.16236,110
cross_B_train_LG_test_PAN,C1_baseline,patchtst,0.9-1.0,0.18826,190
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.0-0.1,0.03993,11
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.1-0.2,0.06382,31
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.2-0.3,0.06708,50
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.3-0.4,0.08503,83
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.4-0.5,0.16825,70
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.5-0.6,0.19068,75
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.6-0.7,0.23203,97
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.7-0.8,0.25087,83
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.8-0.9,0.29598,110
cross_B_train_LG_test_PAN,C2_ocv_mean,gru,0.9-1.0,0.23183,190
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.0-0.1,0.03391,11
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.1-0.2,0.0445,31
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.2-0.3,0.03442,50
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.3-0.4,0.04184,83
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.4-0.5,0.0738,70
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.5-0.6,0.08265,75
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.6-0.7,0.08419,97
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.7-0.8,0.07323,83
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.8-0.9,0.09467,110
cross_B_train_LG_test_PAN,C2_ocv_mean,linear,0.9-1.0,0.09618,190
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.0-0.1,0.19798,11
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.1-0.2,0.13795,31
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.2-0.3,0.07191,50
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.3-0.4,0.03649,83
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.4-0.5,0.0935,70
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.5-0.6,0.14986,75
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.6-0.7,0.21661,97
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.7-0.8,0.26034,83
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.8-0.9,0.33048,110
cross_B_train_LG_test_PAN,C2_ocv_mean,lstm,0.9-1.0,0.33046,190
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.0-0.1,0.17598,11
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.1-0.2,0.13738,31
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.2-0.3,0.06522,50
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.3-0.4,0.07684,83
